,node,embedding
12,2172,"[18.63885455  0.71133229  5.00990656 -0.82341589  0.22729332 -1.27013169
 -1.11084419 -3.47114609 -0.98389066 -0.04469077  1.17820128 -0.30358765
  0.34706041 -0.63492285  0.05058263  0.67550526  0.34785027  0.10956008
 -1.84127413 -1.41551503  0.14022797  0.18814339 -0.7104382  -1.14644492
  0.05598809 -0.9346373   0.08725095  0.02919039  0.31573504  0.16301112
  0.58117647 -0.93820081]"
13,2351,"[26.63516731  8.62116862 -3.30655446 -3.49104686  4.26913542  2.28167144
 -1.0919458  -2.46609168 -0.18908707 -0.28637325 -3.94552608  1.15727069
  1.87287082  3.52097457 -1.79098573 -2.90150018  4.8065375   0.77370134
 -1.46499621 -1.29370784 -1.62830234 -2.19084652 -0.32600343 -0.58112409
  1.32588381  1.52463891  1.35645087  0.53405383  0.64694777  0.2534604
  0.50309166 -2.38901832]"
14,3350,"[ 7.96970414 -3.59504997 -1.90205705  0.62724889 -1.6998088  -0.18790622
  0.6890029  -1.46386569 -0.33701845  2.67264331  0.61433404 -0.39615254
 -0.35213068  0.01964606  0.66493422 -0.19213106  0.0177116  -0.13033607
 -0.50367347  1.24228634 -0.51127566  0.32836855 -0.72320413 -0.35256362
 -0.26768648  0.64784656  0.51416597 -0.26117583  0.40786114  0.26574528
 -0.22684285 -0.26608437]"
15,3554,"[18.91932205  1.77509057  5.36252368 -1.89327615  5.27574283 -5.07385723
  2.08116406 -2.25222638 -1.84462343 -4.01697944  0.33701719 -0.75296653
  0.09062527  2.60400078  2.78562257  1.03143115 -3.20618207 -2.79710481
 -0.90888978 -0.94887521 -0.73972083 -0.52536983 -2.15406501  0.40606645
  0.06392302  1.32561737  1.09064756  0.08557387  0.21756282 -0.5224091
 -2.32639868  1.42720705]"
16,3857,"[21.6814982   3.54737834 -1.68684862 -2.56526332  1.85129709  2.29563066
 -2.81729204  0.99050522  0.09525729  0.31354027 -0.73891692 -2.41367407
  6.77863084  1.36485836 -1.50220521  0.84415915  2.03225034 -1.71764107
 -1.57271707  0.25462272  0.45187259  1.23544159  0.05962866 -1.95296379
  0.02851361 -1.80437835  1.73226961 -1.15874153 -0.56092175  2.41029655
 -1.36200413  0.09129677]"
17,3978,"[28.52714567 12.23026483  9.81099109 -0.23328422 -3.13051759  5.2765924
  1.02259458 -1.77402569 -8.87463649  1.4993179   8.3327379  -1.74904814
  1.59028719 -4.9371797  -2.23811481 -2.75413109  3.11479704 -1.68799789
  1.25718445 -1.05966966  4.2249741  -2.17128893  1.46814114  2.81040178
 -1.22209637  1.2194273   3.31624015 -2.89781286  1.05749932 -0.59809943
 -1.57991135 -1.60913809]"
18,5249,"[27.71566763  9.58027943  0.19170581 -2.89166212  0.72923962 -1.42247664
  1.36966799 -1.14416353 -1.12607415  1.95038324 -2.63492944 -1.56319534
 -1.31234173  1.20604901 -0.91934115 -1.0833329  -0.28079086  2.12206672
  1.25319153 -4.70072253 -1.03187267  0.8072733   2.28219226  0.51540382
  0.76220468 -0.60774091 -1.17077885  1.1062148   1.61035351  2.34627788
  0.16553493 -0.68342453]"
19,5648,"[33.6165064  18.45657736 -4.29749952  7.31794094  1.58542998  3.83990935
  4.74156165 -2.15428623  9.45573889 -0.52153579  1.6631641   2.149102
  0.30764471  2.12061835  1.16439554  2.51160972  0.51472255  0.55135466
  2.04258171 -1.87676467 -3.72307793 -3.00198085 -2.57889428 -3.08746705
 -3.60122773 -1.11507744  1.01645402  4.06149712 -1.55863665  1.78253437
 -0.74730777 -1.68421508]"
20,145,"[ 8.71692932 -3.5680202   1.64418755 -1.23338545  2.23636732  1.12558327
 -0.86692276  2.07976313  1.05634026  1.3473857   0.26571133 -1.3357125
 -0.68350228 -0.36050884  0.75276445  0.51268032  0.3438702   0.06873428
 -0.73978688 -0.59302551  0.05082408  1.35882056  0.32367282  0.32869352
  0.41752188  0.22733711  0.72559153  0.9025932  -0.17733703  0.13762291
 -0.6189407   0.29706454]"
21,163,"[ 9.93429533 -2.6359509  -2.63891477 -2.83846032  2.19030731  0.06785975
 -0.03517751 -0.37719859 -0.23362481  1.88789129  1.53558835 -0.64540692
 -1.00801658 -0.70810722  0.46128665  1.15194077 -1.08129236  0.30758184
  0.23835572  0.48260932  1.83863488 -0.44141896  0.94149448 -0.96176666
  0.23594318 -1.73624574  0.06962903  0.96297659 -0.10141569 -0.46823042
  0.39034979 -0.34444907]"
22,203,"[ 2.62132847e+01  7.22533933e+00  3.76873032e-01  5.11870246e-01
 -1.05193189e+00 -2.54269063e+00  3.68571110e-02 -4.91135452e-02
 -8.79859078e-03  1.46502869e-01 -7.71640874e-01 -3.63533069e+00
  1.15699715e+00  2.44685010e-01 -1.46695917e+00 -1.17159598e+00
 -3.01040382e+00  4.61741419e-01  2.64575319e+00 -2.82992102e+00
 -1.86658075e+00  1.84319406e+00 -2.38086394e-01  1.66841758e+00
  1.05322325e+00 -5.35838544e-01  2.55165105e-01  3.43147254e-01
  3.24473136e+00  2.66078509e-01 -8.43883739e-01  6.64992976e-01]"
23,628,"[24.17184721  5.89280787 -2.75249286 -1.89563704 -0.85614835 -5.03330833
  2.72230483 -2.64296252  0.96878656  4.30925521 -2.73647713  0.51437385
 -1.17414292 -0.93335526  0.83685515  0.4282384  -1.76027975 -0.91157032
 -0.2180023  -4.73114956  0.84240988 -1.17402619 -0.22656248  0.97730029
 -0.16648595 -0.77789694 -3.7774383   0.97323003  0.2966147  -0.76281973
 -0.2575965  -0.21677155]"
24,1198,"[27.90773022 10.04794632  1.31466708 -3.3069399   5.13165215  1.47038543
 -1.3316531   2.75375915 -3.11238922  1.24941941 -2.70608939  1.25705275
  0.88412262  5.67913526 -2.97726191  0.52756245  2.10402087  0.58190008
  0.10750364  2.20389977 -0.22964057  0.23081292  0.9381478   1.6287673
  1.23425782 -0.90607986 -2.3367535  -0.07462352 -0.27731606  0.32604968
  0.04210022 -1.91568327]"
25,1807,"[20.75251137  2.03999041  2.74001871  0.56894605  1.61318111 -0.24989438
 -3.19503646 -0.40518652 -1.23940855  2.06595062  0.98748326  0.06079351
  1.83824706  0.50136326 -1.34687402 -1.39585759  0.6562988  -0.17354392
 -2.36878719 -0.43311084  0.41320828  1.16956764  2.29900641  1.15314404
  0.14679402 -0.39120187 -0.68043735  0.24029133 -1.11218106  0.09505825
  1.82546788  0.17742528]"
26,1955,"[ 2.01023340e+01  1.47024973e+00  4.68004216e-01 -3.67716977e+00
 -2.26370882e+00 -3.67817158e-02 -3.36388080e+00  1.82972669e-01
 -1.49309775e-01  6.20952854e-01 -7.75755627e-01  2.63411299e+00
  1.59567002e+00 -7.55333508e-01 -1.53386253e+00  4.36916121e+00
  1.11874285e+00  1.14141191e+00  1.82914586e-02 -1.25896976e+00
  1.37847520e+00  2.38710043e+00  1.79190800e+00 -9.01791122e-01
  1.24722591e+00 -6.25269259e-01 -2.93690362e-01  9.51733233e-01
 -1.71555946e-01 -1.40652853e-01 -6.25681964e-03 -3.76829176e-01]"
27,5377,"[36.60302078 23.96914814 -3.20020037  0.79189201 -1.15983667  5.99143691
 11.08377837  4.49778616  2.15084329 -0.64225653 -6.25360247  0.57149096
 -0.80321982 -4.07957616  3.80731423 -2.65122103 -1.92021284  4.44034653
 -0.17935178  5.27967617 -3.20767881  1.7217905  -3.10510972 -3.39276109
  4.11993159 -2.20178255  1.03857035  2.27100613  0.46831956  0.73958445
  5.05338745  0.93989245]"
28,5459,"[22.70716905  4.43388825  4.5771348  -3.5715093   4.38755924 -2.15235431
 -1.17910103  2.74585709 -3.23790667 -0.18718996 -0.86457349 -0.78767077
 -1.57322565  3.05427902 -1.24382525  0.20649557 -0.95488687 -0.70279055
  1.11853416  0.18464711 -1.06297124  0.78093389  0.77005305 -1.17928791
  0.64190872  0.532904    0.90656011 -0.37440636  0.29564035  1.05878759
 -0.305402   -1.02742676]"
29,6352,"[23.5776875   5.92165306 -7.82838192 -1.04260841 -5.22288181 -2.56388179
  1.5012826   0.67186903  2.43615447  1.81445177 -4.04358954 -1.84251512
  0.6708407  -5.03902011 -1.32563774  0.65216315 -3.08452771 -0.26720056
  0.49739014 -0.0505887   1.42073926 -2.76466602  1.38342039 -1.59589079
  0.8303329  -1.00807881 -0.86827328 -0.62416979  1.65713616  0.85558481
 -2.17688289  1.72998908]"
30,826,"[ 3.05382326 -1.80035179 -0.89636043  0.31165096 -0.23648558  0.99535387
  0.18636782  0.1911209  -0.55813853  0.50793381 -0.01617679  0.62725272
  1.42559625  0.33682805  0.31976011 -0.53059947 -0.20650205 -0.45264213
 -0.67694785 -0.05132069 -0.41520454 -0.21441147 -0.78527242 -0.04826176
 -0.3628044   0.53684705 -0.59762767  0.00360171  0.03469398  0.30264824
 -0.6895377   0.13522695]"
31,2420,"[ 3.29844487 -2.07038587 -1.08819306 -0.18764762 -0.4735456   0.72098815
  0.32625932  0.96880347 -0.12653348  0.35550714  0.73535256  1.39505368
  1.34732926  0.32907035  0.33894005 -0.17700103 -0.32280441 -0.53386865
 -0.48468373 -0.39754041 -0.35357337 -0.4844278   0.37532498 -0.23918401
  0.53816146 -0.13786562 -0.25557278 -0.4135565   0.87478908 -0.1500952
 -0.87254296  0.20057893]"
32,2533,"[13.08741604 -2.66531047 -3.31015554 -0.89911757  0.43241432 -1.94160849
 -0.39173446  0.44143347  0.1649854   1.71181751  0.39141925  1.82050733
 -0.13257054 -0.60046845  0.51929487 -0.46689989  0.94937035 -2.68068749
  0.37313851  0.42351601 -0.28648317  0.33171865 -0.28767377  0.73793069
 -1.29245606 -0.67188655  0.86453534 -0.56265756  0.13739296  0.47277157
  0.64107051 -0.61969187]"
33,26,"[ 5.00013183 -2.6289319   3.21882997 -0.61262023 -2.02865784  1.80333329
 -0.7646153  -0.28199156  1.59383749 -0.24878638 -1.33816902  0.94946961
 -1.34410214  0.85603661  0.50408442  0.11423751 -0.50292657 -0.3453816
  0.50704216  0.14847021 -0.06876814 -0.06121593 -0.04567122 -0.55998856
  0.5321839   0.83972482  0.08870891 -0.0688429   0.81198213  0.63376133
  0.07817889 -0.70828649]"
34,399,"[ 1.27012042e+01 -1.14730440e+00  8.17363706e+00 -2.07471651e-01
 -2.40529414e+00  2.01501932e+00 -1.71056296e+00 -2.94633997e+00
 -1.07718527e+00  7.29309575e-01  1.20592180e+00 -2.33063854e-01
 -2.77930452e+00 -1.21961708e+00  3.27380403e-02 -1.32548850e+00
  1.72628963e-01 -3.19442086e-01 -1.32169795e+00  7.59206805e-01
 -6.96691025e-01 -2.24165429e+00 -3.90406509e-01 -1.60493145e+00
  1.47525574e+00  8.44936159e-01 -5.69886075e-03 -3.98683525e-01
  1.58646145e+00 -1.09300230e+00 -4.17358977e-01 -3.34539749e-01]"
35,530,"[ 2.66182075e+01  8.40225743e+00 -7.90114930e-01 -3.66068494e+00
  6.17229744e-01  1.82730177e+00 -9.55123697e-01 -2.12740840e+00
 -5.81174006e-01  1.91528564e+00 -2.51924044e+00  9.73372724e-01
 -2.62903761e+00  2.69869096e-01 -7.34740872e-01  1.82308256e-01
  3.33432096e+00  1.91106285e+00  1.00321830e+00 -3.39408006e+00
  1.05948379e+00  1.15090382e+00 -4.91998646e-03 -2.59233822e+00
 -1.11382422e+00  3.58621048e-01 -3.88616959e-01 -1.15251983e+00
 -1.04125626e+00  4.71964417e-01  4.26746164e-01  3.12911816e-01]"
36,791,"[14.05852629 -2.37555455  3.32555172 -2.29526556 -1.07720639  1.45409903
 -3.2724468   1.55737693  0.45954021  0.22423376  0.69519914 -0.71628118
 -0.83662251 -0.25488608  0.36651585 -1.07166173  0.75585907 -0.12057454
 -1.63534484  0.02059592 -1.05657561  1.39685535 -1.54818437 -0.35514928
  0.59034449  1.71247614  0.33354932  1.13630013  0.07768329  0.70067293
  0.28544012 -0.50484068]"
