,node,embedding
1677,879,"[ 4.18560075 -1.46170655  2.55869157  0.22371339 -1.36526286  2.23249321
 -0.61192078  0.05914049  0.38174945 -0.2526383  -1.22103354 -0.68766552
  1.59323447  0.34907295  0.35176968  0.0643019  -0.58693913 -2.19459475
  1.4744818   0.1399341   0.85378264 -0.19677577  0.41717384  0.43105715
  0.50690927 -1.30915057 -0.67808569  1.17161512 -0.60836199  0.85729501
 -0.3466742   0.85480891]"
1678,1894,"[ 0.48994094 -0.42524941  0.16498278  0.04736113 -0.05243489  0.40337245
  0.17423101 -0.15226128  0.12193908  0.05942075 -0.35232916 -0.14462886
  0.11738905  0.25523745 -0.2799418  -0.1795202  -0.29071746 -0.11360194
 -0.02715113 -0.09962749  0.00247944  0.06689958  0.19503041  0.0764915
 -0.14242215  0.03979538 -0.07685375  0.01171755 -0.10468322 -0.08002702
 -0.32258004 -0.2232939 ]"
1679,3118,"[ 5.35103958 -3.07805536  1.11623404 -0.59573549 -0.89485365  0.88742604
  0.29983173  1.18553802  1.01607668  0.05451163 -0.28532047 -0.15892612
  0.30946096  0.84634442  0.66313383  0.309046    0.33200951  0.67593034
 -0.16037683 -0.70369529 -0.05925651  0.07092799  0.71726788 -0.09644514
  0.16486512  0.41745541  0.17838662 -0.40070379 -0.45785957  0.32121335
  0.22311472  0.26911316]"
1680,1890,"[ 1.52576253 -1.36291469 -0.26980188 -0.07679469  0.62525103  0.89655004
  0.46470115 -0.10463633 -0.27435367 -0.14377469 -0.00221736 -0.2568412
  0.22972496 -0.31283886  0.03502934  0.0737223  -0.64431718  0.32177192
  0.30304581 -0.09076132 -0.53187079  0.0342999   0.03695265 -0.3846454
  0.10744053  0.2966829  -0.24208132 -0.08230251 -0.16293098 -0.36935897
 -0.42309    -0.51100953]"
1681,5495,"[ 0.61923247 -0.75247294 -0.07814315  0.10680579 -0.14814427  0.31718707
  0.62814809 -0.05919047 -0.220339    0.19588909 -0.11276236  0.01423444
  0.07939268  0.36379343 -0.5175522   0.26418426 -0.17484861  0.25047266
  0.09739596 -0.17144984  0.15593873  0.0304532   0.13528948  0.04691409
 -0.16018186  0.01055268  0.19940983  0.11015532  0.0643961  -0.188853
  0.02604346 -0.05905551]"
1682,1984,"[ 0.43416773 -0.47979367 -0.15812989 -0.01072331 -0.1780975   0.23378422
  0.3808521   0.25066233 -0.1463915  -0.28224551  0.10858101  0.03039031
  0.01580713  0.31468701 -0.34682489 -0.11835018  0.00655801  0.1150049
 -0.12722972 -0.40541671 -0.06886484 -0.12160742  0.020147    0.02716904
 -0.20792729  0.02694332 -0.36843267  0.16292725  0.20365868  0.00801326
 -0.16469477  0.05121131]"
1683,3587,"[ 0.98608542 -1.10381969 -0.39403031 -0.09914424 -0.2716987   0.48923578
  0.99203769  0.37265381 -0.04658357 -0.51447497  0.44444571 -0.06154954
  0.01963565  0.47009211 -0.73206835 -0.21330964  0.19237377  0.29190836
 -0.33720858 -0.62372963 -0.21509068 -0.20019991 -0.1556557  -0.02427322
  0.05688129 -0.32337158 -0.56516905 -0.0824543  -0.11075089 -0.16028362
 -0.0154728   0.18943327]"
1684,917,"[ 0.7661178  -0.89948226 -0.26183153  0.0548562  -0.11978002  0.64083888
  0.85864758 -0.14257171 -0.0694269  -0.47159763 -0.02570142  0.20863122
 -0.28815546  0.32965432 -0.75654599 -0.23806996 -0.35542871  0.19527323
 -0.08429821 -0.19955605  0.019981    0.1580594   0.01437989  0.02011591
 -0.07858885 -0.37155341 -0.33216081 -0.17369411 -0.20295376 -0.12218962
 -0.31974661 -0.2509962 ]"
1685,1162,"[ 1.38070572 -1.04348526 -0.33992688  0.68566293  0.00256735  0.47090093
  0.43884965  0.42324093 -0.48644009  0.19545226 -0.08631356  0.63090181
  0.09075526 -0.00893183 -0.28819925 -0.48410116 -0.07351728 -0.015206
 -0.30642406 -0.56791847 -0.19955586 -0.25685426 -0.13271591  0.38848149
 -0.41106116  0.49642366 -0.12845297  0.40095074  0.55273423  0.11742154
 -0.23834161  0.04395602]"
1686,3584,"[ 3.0192416  -2.19304175  1.4261125  -0.02770211 -0.61757629  0.88224402
  1.24057494 -0.38219741  0.78893046  0.6631699  -0.47004803 -0.24364365
 -0.23871937  0.94364723 -0.4349443   0.05381142 -0.42583094  0.27899756
 -0.73800306  0.31278903  0.44303603 -0.59250413 -0.2455566  -0.08259851
 -0.05898183 -0.08685096  0.55441762 -0.26280539  0.01462033 -0.28191102
  0.04867691 -0.61359156]"
1687,3992,"[ 1.72773128 -1.27505255  0.02526408  0.06798514 -0.08059953  0.31254823
  0.83708181 -0.40210098 -0.16941661  0.40737731 -0.0515378   0.16717418
 -0.03883181  0.32106169 -0.55364293  0.17072893 -0.35077849 -0.01403041
  0.38432125  0.10790099 -0.0599069  -0.11599069 -0.2192266   0.49899695
 -0.51583082 -0.32086271  0.04264221  0.00429909  0.10758424  0.2141852
  0.0216629   0.03362172]"
1688,6666,"[ 4.64466557 -2.86558544  0.86792915 -0.47507811  0.86654764  1.80599435
 -0.12589141  0.84540017  0.71620669  0.6346367   0.05848258  0.3633904
  0.8238697  -0.42622628  0.29731675 -1.11319329 -0.86104585  0.12266964
 -0.83178643 -0.18085294 -1.30519057 -0.32633495  0.43597205  0.38667776
  0.51703775  0.87140258  0.19743626 -0.13971987 -0.19295664  0.27875826
 -0.14682133 -0.22591003]"
1689,278,"[ 5.63446227 -2.99832267 -1.41991154 -1.30873493 -0.16351122  0.28333802
  0.40268066  1.03705861  0.18288088  0.19567643  1.35636386 -1.24938901
 -0.16893959  0.41229969  0.76709858  0.45288658 -0.39087974  0.55443354
 -0.33167069 -0.52951416  0.23289499 -0.36768194  0.37289433  0.11918397
  0.30669847 -0.21873732  0.22010312  0.14500574  0.27460241 -0.56887354
  0.53395145  0.4119947 ]"
1690,2844,"[ 6.54494357 -3.35829861  1.36615266 -0.42210472 -1.67499666  0.81865412
  0.10538594  0.76586577  0.64429922 -0.45185208  0.27937614 -0.23611779
 -0.52405823  0.62227079  0.65442677 -0.25454824  0.78633669 -0.16105425
  0.66816567 -0.20371942 -0.71924681  0.23768787  0.62020769  0.66537899
  0.234357    0.55973929 -0.1134856  -0.69969856  0.00897572  0.55175649
 -0.18621024  0.16337797]"
1691,6178,"[ 7.58126966 -3.18473974 -1.90078392 -1.94789107  2.60299042  1.74352402
 -0.84799144  0.79293458  0.02205746 -0.03975166  0.73256842  2.81246777
 -0.85085138 -0.86837229  0.66352505  0.22701296 -1.22045923 -1.31849576
  0.33478323  0.03470248 -0.42049615  0.40237322 -0.32966472  0.69867824
 -0.32318249 -0.54994235  0.1304143   0.19293852  1.23626528 -0.16462464
 -0.35420346  0.57791581]"
1692,3410,"[ 9.90781679 -1.82003311  6.08038185 -0.20281549 -2.51179013  0.60710667
 -0.1906888  -2.03492162 -0.20309242  1.44408102  0.26431395 -0.60127526
 -2.58661021  0.44201514  0.22861683 -0.80388764 -0.30022634 -1.34359187
 -1.41004943  1.11340368 -0.62240215 -1.58525853 -0.22953894 -1.06731573
  1.21323237  1.94346378 -0.02123841 -0.80424207  1.18626782 -0.30894713
 -0.01843819  0.07085138]"
1693,3579,"[ 7.17377606 -3.2055699   3.55616298 -0.04615386 -1.63280358  1.54005706
 -1.28332502  1.33824569  1.04609295 -0.84240261 -1.00473252  1.06050784
  0.00765588  0.18930647  0.92648616  0.47428114  0.20902316  0.27867452
 -0.52536851 -0.73279145 -0.48541788 -1.17951144  0.23368732 -0.91561302
  0.09125102  0.55705153 -0.10293368 -0.01123715  0.0074667   0.5618084
  0.4721267  -0.16485136]"
1694,4262,"[ 1.28679638 -1.37562471 -0.1462028  -0.08854279  0.32421601  0.83861338
  0.87066006  0.36188137  0.04444698  0.2358874   0.05142239 -0.26828784
  0.07346568  0.14006806 -0.55078381  0.26162404 -0.36964758  0.10729586
  0.12914923 -0.62719717  0.32510375 -0.00594397 -0.24854837  0.01015769
 -0.03113775 -0.22719348  0.54625642  0.02392634 -0.18391085 -0.22536462
  0.19112201 -0.32140667]"
1695,2313,"[ 4.18340082 -3.29816669 -0.94898572 -0.79742804  1.6047505   1.23242186
  1.22615749 -0.22667586 -0.03746673 -0.25883415  0.88544166 -0.52124881
  0.50143675 -0.87200024 -0.24252636 -0.08862672 -0.76557897  0.66963078
  0.57822094 -0.14058976  0.30045902  0.80092095 -0.10062074 -0.4263142
  0.16576486  0.03430775  0.17480316  0.20134415 -0.51373173 -0.75208687
  0.04710539 -0.56236259]"
1696,766,"[ 0.45123214 -0.63050462 -0.11756226  0.17046378  0.19644366  0.48195673
  0.48835532 -0.2186448  -0.33443293 -0.07890907 -0.25127478  0.03190986
  0.08133881 -0.04468676 -0.50065633  0.13829617 -0.38922659 -0.06823896
 -0.01576452 -0.11690233  0.07815871  0.17925363  0.03350752 -0.12243458
 -0.52539729 -0.08060663 -0.27973045  0.06382414 -0.04098012  0.0457267
  0.21699797 -0.24170846]"
1697,6003,"[ 2.80279003 -2.2769944  -0.0936479  -0.32463326  0.98649612  0.3267034
  1.01437694  0.41561359  0.4170501   1.02912973  0.46228106 -0.09548079
 -0.51243644 -0.13314472 -0.38896201 -0.75691419 -0.05055389  0.31514089
 -0.12257024  0.43486956  0.25436157  0.21518662  0.19873287 -0.03929615
  0.6053205  -0.07513085  0.4182456   0.11531311  0.17109126  0.1892506
 -0.81774058  0.58850194]"
1698,1325,"[ 1.64949185 -1.14219064  0.67929898  0.47747263  0.07185522  0.4976099
  0.09153181  0.5365034   0.0611828  -0.04651661 -0.57212743  0.22684286
 -0.27695557  0.2377137   0.04927341  0.7473864  -0.02031977 -0.03291626
 -0.45528949 -0.76171398 -0.03756207 -0.31365742  0.46885118  0.05244333
 -0.24338318 -0.26622763  0.42214848  0.44014009  0.43770643  0.06906456
  0.12917648  0.32029988]"
1699,1737,"[ 2.74100847 -2.03137835 -0.68890391  0.57747171  0.57006458  1.03070801
  0.46096641 -0.70076874 -0.76481295 -0.13646077 -0.27954687  0.87530835
  0.38582909 -0.24637405 -0.23948708  0.17149422 -0.89252627 -0.03362208
 -0.15289428  0.58452263 -0.25596872  0.18475875  0.36994741 -0.28867137
 -0.83710851 -0.03414629 -0.32939159 -0.22561098  0.02018329  0.78840237
 -0.16462631 -0.23171069]"
1700,5298,"[ 9.11190004e+00 -3.05853301e+00  2.56240384e+00 -1.43237124e+00
  6.26296390e-01 -1.66746605e+00  2.95554992e-01  2.08490253e+00
  1.50228962e+00  7.06282295e-01  1.99237214e-01  8.84679733e-02
 -8.80216907e-01 -3.56126230e-01  3.35254202e-01  1.65817432e+00
  7.41650699e-01  5.48366302e-01 -1.28505162e-01 -1.32120106e-01
 -4.67637744e-01 -5.77802446e-01  4.41688705e-01  3.56365216e-01
 -3.19086574e-01 -2.16200134e-01  3.65259014e-01 -7.56529885e-01
 -1.06306401e-01  4.83854016e-01  8.65206434e-03 -4.08188392e-01]"
1701,1203,"[ 6.49424324 -3.1166713  -1.27177705 -1.59220914  0.83483474  0.66692578
  0.50457743 -1.11423534  0.07336064  1.74948564  1.54270167  1.27231847
  0.96440299 -0.18282213  0.60055218 -0.43487107 -0.9074172   1.29203263
  1.09743853  0.20269512 -0.26457454 -0.01356268  0.62306315  1.07941489
  0.02359369  0.97834708  0.07069815  0.56207631  0.28922145  0.30086536
  0.4952091   1.34538303]"
1702,2379,"[ 1.94761779 -1.80004943  0.27571699  0.52794084 -0.37044853  0.9689273
  1.11264289  0.34864225 -0.22682573  0.28435761 -0.56963774 -0.19409413
 -0.12476375  0.56017339 -0.55103943  0.27963237 -0.14264026  0.07705369
  0.03667255 -0.40376899  0.04182237  0.0594113  -0.02039874  0.0211389
 -0.64520019 -0.31315111  0.34161251  0.03998766 -0.37901825  0.25701679
  0.12344809  0.24756656]"
1703,6544,"[ 3.66464647 -2.51700473 -0.20604762 -0.77564673  2.01191711  1.10478129
  0.69977835  1.26190173  0.44705226  0.23641329  0.45650465 -0.68539994
 -0.15743013 -0.82060419 -0.2531121  -0.33419348 -0.74219176 -0.46847237
 -0.03244704 -1.03092766  0.04211992 -0.12121779  0.11467468  0.73828543
  0.18787258 -0.46359838  0.38093694  0.47954017 -0.14117551 -0.54725813
  0.36990442 -0.1446778 ]"
1704,4481,"[ 1.84315623 -1.75159517 -0.66345112 -0.19614114 -0.3097685   0.45804699
  1.22680849 -0.20177128 -0.35311925  0.5764393   0.87062306  0.34919751
 -0.23585206  0.77129999 -0.92828214 -0.18135882 -0.25605374  0.54601272
 -0.12899671  0.195115    0.24876768  0.36602459  0.01063183 -0.06528267
  0.06342116 -0.07084437  0.29012922  0.66104891  0.06681013  0.36833643
  0.19458946  0.02174993]"
1705,4215,"[ 5.86804416e+00 -3.06992566e+00 -1.19351665e+00 -1.66799115e+00
  1.26007504e+00  1.00429221e+00  5.26346006e-01 -6.64532672e-01
  4.75937611e-01 -1.49326504e+00  1.23784681e+00  6.37521570e-01
 -6.42651350e-01 -6.03421880e-01 -3.19279175e-01 -1.04382659e+00
 -7.42558919e-01 -2.35679073e-01  7.83265874e-01  2.93569776e-02
 -7.43591663e-02  1.97511354e+00  1.63635125e-04 -1.97441394e-02
 -1.98315890e-01  1.63538663e-01 -3.98721501e-01 -3.41606074e-01
 -2.50520282e-01  2.13129621e-01 -2.58963278e-02 -4.29574792e-01]"
1706,524,"[ 0.62362433 -0.5919497  -0.20120062 -0.1874442   0.10196355  0.3307312
  0.37165073 -0.2419046  -0.07206492  0.21143217  0.27840449  0.29467714
  0.20794425  0.15747285 -0.4157643  -0.05485417 -0.33506367  0.41031662
  0.04495559 -0.05218275  0.08414927 -0.04969796 -0.10912    -0.2747493
 -0.07180325 -0.04708655 -0.27425284  0.16090063  0.27130026  0.02906903
 -0.28740362  0.03531437]"
1707,6113,"[ 8.08464794 -3.43125873 -1.57143748  2.7556785  -0.71198577 -1.20326077
  0.54351564  0.77902815 -0.66867387 -0.06625557  0.06216462  1.41476729
  0.55751344 -0.44631849 -0.05043623 -0.13623208  0.81425864 -0.94223067
  0.12873286  0.40952016  0.88108254  0.6213401  -1.24273918  0.07457016
  0.3172722  -0.56248794 -0.090948   -0.16776069  0.65946563 -0.53009708
 -0.28411446 -0.95176714]"
1708,3852,"[ 0.5745485  -0.69233447 -0.29672828  0.347712   -0.09331146  0.39171643
  0.4361799  -0.1474648  -0.58848057 -0.1570835  -0.15517313  0.08528036
 -0.0827516   0.1545712  -0.19342894  0.0810943  -0.17742411  0.0874988
  0.04216063 -0.11077404 -0.2526663   0.2030446   0.03267988 -0.28210469
 -0.17101829 -0.12386693 -0.29599093  0.03110922 -0.16406079 -0.04602101
 -0.38849265 -0.40929398]"
1709,1099,"[ 6.62609757 -3.66908988  0.13768914 -0.44110971  0.30670007 -0.2283912
  1.34151298 -0.46306433  0.49874697 -1.18563198  0.02680834  0.82136496
 -0.39754265  0.11134605  0.54210598 -0.34728027 -0.06463353 -0.2800682
  0.64536056  0.65783953  0.77630075  0.30771199  0.51997809 -0.79977007
 -0.13965305 -0.15843612 -0.90451803 -0.77549833  0.48426817  0.6911222
  0.65990912 -0.98009173]"
1710,5820,"[ 4.72952818 -3.39033713 -0.57571462 -0.58421882  0.23043401  0.48736059
  0.75263802 -0.03565603  0.44531387  1.48909672  0.8639288   0.74607199
  1.05556764 -0.00953751  0.33033856  0.08845813 -0.28562992  0.58016797
 -0.2831711   0.48939343  0.31760992  0.54622735  0.01524421  0.65654559
  0.63269953 -0.45423032  0.84388075 -0.08367779  0.38253191 -0.15716589
 -0.41175797  0.36969497]"
1711,4508,"[ 0.73412912 -0.9349964  -0.08702981 -0.07991188 -0.02626605  0.31087721
  0.87111819  0.21871829  0.17401971 -0.03502343  0.40146187 -0.0354906
  0.06477975  0.11518168 -0.47669863 -0.26108626  0.06580295  0.33827935
 -0.05894014 -0.16269512 -0.07717492 -0.25461649 -0.09987294  0.12596163
  0.51251836 -0.20330305 -0.04808348 -0.07135124 -0.25102817 -0.23716198
 -0.27912014  0.28399602]"
1712,212,"[ 5.00275775e+00 -2.61235689e+00 -2.95971865e-01  4.41136871e+00
  1.20269547e+00  8.16103920e-01 -5.68140264e-01 -1.12529890e+00
 -1.25943067e+00  1.49050147e-01 -1.57543280e+00 -3.01604494e-02
  8.86413390e-01  6.65957217e-02  3.44568038e-01 -1.22198435e+00
  5.08444808e-02  6.89711357e-01 -3.72529954e-01  4.90701884e-01
  3.35890744e-01  1.75055760e-01  1.46427958e-01  4.29062560e-01
  5.53771107e-01  4.13350457e-01 -6.34447168e-01  1.04283792e-02
 -1.16074797e-01 -4.63845710e-01 -4.72109370e-01  3.63341386e-03]"
1713,3678,"[ 1.38107578 -0.93462744  0.12974796  0.153325    0.19672013  0.58528983
  0.2513832  -0.22021854  0.16763778  0.27078256 -0.04778781 -0.05153447
  0.36594772  0.02209663 -0.2386713  -0.58567414 -0.44660108  0.12851307
 -0.1830879   0.0299078   0.27122174  0.13252491  0.13961343  0.24194397
 -0.08514753  0.08684611 -0.11308361  0.17680557  0.08763295  0.19964018
 -0.15786745 -0.19781409]"
1714,1620,"[ 0.99640468 -0.94520507 -0.25818829  0.02990441  0.01191988  0.44207425
  0.84692229 -0.42447628 -0.28338214  0.29497034  0.02057704  0.15742339
 -0.07335446  0.1799643  -0.85767102 -0.07226583 -0.27023656 -0.04183531
 -0.10280524  0.26924102  0.30134941  0.20089119 -0.34977298  0.05753484
 -0.53723225 -0.21689127  0.04777425  0.34282543 -0.10798423  0.22496185
  0.27428663 -0.26642634]"
1715,2578,"[ 3.46950615 -2.21475114  1.0891484   0.27411336 -0.13222507  0.89848655
  0.70218404 -0.55305335  0.15016575  1.50691728 -0.32420962 -0.27953615
 -0.60813557  0.2603857  -0.35438465 -1.03496081  0.08746698 -0.35903565
 -0.18723662  1.03614855 -0.57158029  0.38795804  0.17710492  0.09492874
  0.26720304 -0.34714661  0.15267586 -0.39690437 -0.58026897  0.14393488
 -0.54108568  0.46523188]"
1716,2829,"[ 1.36275728 -1.07173049 -0.86727069  0.2456747  -0.75851339  0.16462442
  0.65690737  0.38518648 -0.74562984  0.19155562  0.33529265 -0.0853877
 -0.23863937  0.44554318 -0.18517755  0.27602662  0.29114078 -0.04810764
  0.05694216 -0.51241618 -0.32988749  0.05586149 -0.5821634  -0.45189767
 -0.18979483  0.03799803 -0.07280255  0.39892932  0.01518274 -0.14038223
 -0.10762542 -0.23289695]"
1717,178,"[ 1.31773967 -1.29736691  0.31144452  0.08312252  0.09847569  0.35714043
  1.12136181  0.08879235  0.07112213 -0.00956939  0.04353338  0.00675087
  0.11614594  0.08427903 -1.00647    -0.19374211 -0.0376569   0.39177562
 -0.058137   -0.02954307  0.13300643 -0.30549864 -0.04296099 -0.2344699
  0.17785699 -0.32126176  0.11258632 -0.02528006 -0.12011548 -0.33409221
 -0.06082208 -0.15965035]"
1718,397,"[ 6.11079192 -2.9142563   3.90976649 -0.66371643 -2.22438944  2.40276449
 -0.41459658 -0.44445041  0.98831557 -0.36304888 -0.91189047  0.26484509
 -0.75723275  0.94825409  0.45833131 -0.52501921 -0.99114303 -0.50385305
  1.17731847  0.21368212 -0.17946211 -0.16331124 -0.25631988 -0.40731795
  0.03212256 -0.63421065 -0.59696139  0.08353271  0.07169459  0.31633637
  0.31489331 -0.15128028]"
1719,5853,"[ 3.61098657 -2.29071866  2.03676342 -0.08613137 -0.24959587  0.8594164
  0.38215283  0.88130435  0.99883224  0.03782795 -0.44378296 -0.07930229
  0.15223498 -0.03252364  0.37204753  0.29981421 -0.126162    0.30316436
 -0.5410553  -0.45881733 -0.52994881 -0.79842825  0.48788456  0.33063235
  0.26883535  0.64308425  0.39305102 -0.23111866  0.06354344 -0.01452657
 -0.1697328   0.007525  ]"
1720,4854,"[ 2.52734477 -1.81168311 -1.52861166 -0.35750011 -0.51991946  0.88335802
  0.98401275 -0.27202902 -0.2602253  -1.12684682  0.41657421  0.14867994
 -0.95762956  0.94392956 -0.64817537 -0.07125099 -0.37113867  0.01833178
 -0.38240706 -0.16843036 -0.00715878  0.0701072   0.98172356  0.49637973
 -0.04993835 -0.02772063 -0.09999158  0.00621053 -0.11529884  0.57338682
  0.13064376  0.05542451]"
1721,440,"[ 1.66285118 -1.39491178 -0.42769198 -0.3648111  -0.24547586  0.51010155
  0.92255245 -0.34479123  0.07552455 -0.44704269  0.40362037  0.12512104
 -0.12637034  0.51184329 -0.6587149  -0.19064731 -0.3611319   0.39217293
  0.07127921  0.24579279  0.03170414 -0.15355755  0.068823   -0.22196787
 -0.27238225 -0.27667718 -0.41287084 -0.04582593  0.1065526   0.13105515
  0.10054263 -0.02525025]"
1722,5611,"[ 4.96828546 -2.99526792  2.41735303 -0.51314194 -0.49863682  1.65481992
  0.63316411 -0.27757856  1.53432872  0.19189459 -0.23670458 -0.25028809
 -0.67579796 -0.07590536  0.33030702 -1.16035086 -0.25786609 -0.30534872
  0.13379526 -0.28293737  0.24719063  0.97440306  0.27080921 -0.31840386
  0.80082104  0.26590857 -0.34696944  0.03073983 -0.31726435  0.54767685
 -0.82056042 -0.27841741]"
1723,289,"[ 5.17033449 -2.91152361 -0.38544674  0.48119928  2.01640922  0.39227001
  0.205045    1.59107599 -0.12756074  0.9572181   0.3773213  -0.2044852
 -2.18885519 -1.0090545   0.35404761  0.03143925 -0.03341081 -0.60441367
 -0.98794719 -0.46550896  0.09227535 -0.65850943  0.79236578 -0.49165421
  0.15568508 -0.87175496  0.18809435  0.22150025  0.66770335 -0.03664211
 -0.02625102  0.29532891]"
1724,103,"[ 1.15294273 -0.81276384 -0.12161128 -0.00202084  0.15993679 -0.19579581
  0.78677306  0.25174888 -0.20743357 -0.29828956  0.43507568  0.28391622
  0.10227179 -0.04856785 -0.46021021 -0.11388119  0.13846319  0.02047313
 -0.40901642 -0.38189331 -0.01333037  0.24156922 -0.31242053 -0.21489051
 -0.07429345 -0.11447545 -0.39278011  0.27606643  0.09652922  0.00771266
 -0.14906401 -0.19986373]"
1725,1114,"[ 2.85604559 -1.84451952 -1.22252217 -0.45712835 -0.26106748  0.44364367
  0.622916    0.8494425  -0.33693375 -0.90286976  0.89925648  0.19607417
  0.43507791  0.78253204 -0.22414729 -0.84871689 -0.16215003  0.02070643
 -0.62879623 -1.06230321  0.61272716  0.10264942 -0.1697608  -0.59653348
 -0.60683455 -0.26863983 -1.00352693 -0.3529008  -0.05395389  0.78450002
  0.05225037  0.08307749]"
1726,3352,"[ 7.37693865 -2.50404004  4.86944611 -0.42322476 -1.56181446  1.90164619
  0.01515843 -0.6644114   0.62011886  0.58699637 -0.71970381 -0.0263625
  0.05098794  0.19567731  0.45518057  2.25286448 -0.68699242  0.99752251
 -1.26410655  0.23748005 -0.21015661 -0.42415604  1.179347   -0.53494049
 -0.41742427 -0.71455675  0.33037869 -0.29113451  0.36153694 -0.78376672
 -0.12777    -0.31890029]"
1727,6319,"[ 1.06813309 -0.80728596 -0.35093247  1.66053276  0.20237209  0.42314776
 -0.00616766 -0.20235105 -0.96390646 -0.13173807 -0.75462362  0.10806616
 -0.12981423 -0.18512681 -0.07535525  0.55949269 -0.39441594  0.08681757
  0.36171012  0.0472448   0.25063959  0.05369928 -0.3696185  -0.5262372
 -0.21131759  0.17347195 -0.25701198  0.25773724 -0.04667179  0.16067426
 -0.04815235 -0.51340592]"
1728,544,"[ 1.68506383 -1.42030621 -0.86432334 -0.24887899 -0.52262352  0.69047806
  0.92388504 -0.02898299 -0.09029026 -1.08570427  0.75629184  0.12206055
 -0.66576721  0.68362956 -0.47299853 -0.39294385 -0.00433586  0.66611532
 -0.37722051 -0.43451508 -0.44391579 -0.30000966  0.18319352  0.11739355
  0.56506208 -0.26485577 -0.5022962  -0.10748871 -0.27124126 -0.06689093
 -0.5869119   0.00649889]"
1729,3770,"[ 3.81300006 -2.39253775 -1.57326981  1.4518567  -0.81000816  0.42763403
  0.51430823  0.59303364 -1.44517933 -0.39285834 -0.05786073 -0.25358572
 -0.26528947  0.28353792 -0.04137664 -0.28568923  0.49091162  0.11383096
  0.0972953  -0.58072045 -0.41857175  0.29905544  0.05466927  0.12344538
 -0.33996879  0.25163098 -0.28414966  0.53823905  0.13823758 -0.07803646
 -0.76251127 -0.18823291]"
1730,5327,"[ 1.29208899 -1.34580159 -0.22633041  0.47046534  0.09474918  0.62710749
  0.59059219 -0.05245906 -0.55371633  0.257822   -0.39010992  0.42871439
  0.08745681  0.1411404  -0.45625974  0.41102481 -0.14329449 -0.0348768
  0.14514659 -0.01017282  0.07683876 -0.154216    0.01993941 -0.12779404
  0.01305983  0.3943392   0.3303912   0.55309889  0.43939116  0.4000843
 -0.0042957   0.38144771]"
1731,2462,"[ 2.05248598 -1.94029158 -0.13179114  0.83866907  0.27824015  0.44250056
  0.81045135  0.36035512 -0.87129399 -0.12463918 -0.31995986 -0.27899604
  0.22723785 -0.55781756 -0.23045702  0.07698181  0.22402438  0.04434995
  0.30620557 -0.21344247 -0.27454247 -0.37128632  0.23530788 -0.86260163
 -0.4091974  -0.10286766 -0.13960395  0.4422054   0.14130622 -0.14100187
 -0.1209694  -0.15874341]"
1732,2873,"[ 1.13204786 -0.91828767  0.08881421 -0.34236058 -0.10843887  0.36123149
  0.35331248 -0.18286592  0.126557    0.11546029  0.32974181  0.68485185
 -0.14447503  0.17157837 -0.16840282 -0.05105462 -0.39726441  0.3284181
  0.26314272  0.39125289  0.13581928 -0.08761929  0.02364408  0.25184979
  0.04804499 -0.02220129  0.20396371  0.12269634  0.33794296  0.38159839
  0.20265042  0.30117457]"
1733,6307,"[ 1.30818314e+00 -1.57301077e+00  4.71126011e-01 -4.62237483e-03
 -2.72734462e-01  1.10079497e+00  8.94146818e-01  9.44759198e-04
  2.33809683e-01 -7.46460905e-02 -2.26351125e-01  3.54450449e-01
 -1.95068111e-01  4.56747795e-01 -5.33972678e-01 -2.73947524e-01
 -6.55372522e-01  1.16997572e-01  1.16807427e-01 -3.43895510e-02
 -5.56633654e-02 -1.50597876e-01  1.10931515e-01  2.58137234e-01
 -1.50161925e-01 -2.52620050e-01  4.52982291e-02 -2.27139449e-01
 -1.22306876e-01  1.87653940e-01  8.07411750e-02  4.89367667e-02]"
1734,1668,"[ 4.11912001 -2.7169336   0.53635262  0.48455854  1.12396118 -1.35827467
  1.97043445 -0.58752138  0.48995217 -0.43791392  0.29792848  0.61079089
  0.11971212 -0.78155453 -0.9517314  -1.29488735  0.61687242 -0.16398501
 -0.91230659  0.6373377  -0.75138487  0.47888527  0.19100228  0.23544309
  0.61410061  0.41088406 -0.90449531 -0.51309512  0.28861369  0.23883346
 -0.00698131  0.4603867 ]"
1735,1186,"[ 1.10018901 -1.17623709  0.6061074  -0.04292391 -0.21403929  0.64957285
  0.57522137  0.09576883  0.65560779 -0.04578763 -0.27456608  0.01486768
 -0.12890706  0.3762245  -0.13567422 -0.03403463 -0.37224188  0.2308882
 -0.0698063   0.16265029  0.07637629 -0.04765503  0.17294865  0.30678386
  0.12475059 -0.29592526  0.13800804 -0.62022678 -0.31429264 -0.07015294
 -0.07181368 -0.16224625]"
1736,1516,"[ 1.43613176 -1.57973634  0.54396984  0.28315299 -0.01025763  0.96505949
  0.87925144 -0.22477229  0.05546806 -0.04729247 -0.68462168 -0.16790776
  0.35221463  0.38215111 -0.37695231 -0.15980547 -0.25418215 -0.110904
 -0.09142091  0.04623882 -0.17235332 -0.18424243  0.04886443 -0.02897275
  0.05218278  0.40587844 -0.31675164  0.22648405  0.04031022 -0.14793852
 -0.21825607 -0.01821486]"
